일자,전국,서울,경기,인천,강원,충북,충남,전북,전남,경북,경남,세종,대전,대구,부산,광주,울산,제주
2024-07-01,1511.73,1607.69,1513.93,1504.81,1523.82,1518.11,1510.09,1498.79,1517.11,1489.93,1496.03,1506.34,1520.38,1475.87,1498.64,1493.11,1493.01,1601.77
2024-07-02,1516.22,1611.77,1518.52,1508.53,1527.21,1522.7,1513.46,1504.62,1520.07,1495.37,1500.56,1515.03,1524.98,1480.26,1503.95,1496.62,1503.08,1602.44
2024-07-03,1519.53,1614.11,1521.34,1513.99,1530.02,1526.19,1517.38,1508.46,1524.29,1499.25,1503.49,1515.34,1528.65,1483.43,1507.45,1498.41,1506.27,1603.34
2024-07-04,1524.84,1624.91,1527.73,1522.97,1535.05,1530.98,1521.61,1512.25,1527.7,1503.49,1507.32,1519.35,1538.25,1490.64,1513.69,1504.7,1510.6,1604.39
2024-07-05,1528.95,1629.05,1533.09,1527.73,1537.92,1534.61,1525.68,1515.89,1530.72,1507.82,1510.34,1523.68,1546.4,1495.58,1516.89,1509.39,1514.38,1604.86
2024-07-08,1538.36,1637.8,1544.76,1538.11,1546,1542.41,1534.53,1522.74,1537.69,1517.98,1519.56,1534.68,1562.57,1507.69,1527.57,1519.19,1522.34,1605.57
2024-07-09,1541.87,1642.2,1548.38,1540.43,1549.27,1544.61,1537.16,1524.88,1540.74,1520.8,1522.21,1540.22,1564.7,1510.83,1529.74,1522.29,1524.14,1640.26
2024-07-10,1543.44,1643.36,1550.11,1541.44,1550.47,1545.31,1539,1526.17,1542.68,1522.97,1523.78,1541.6,1566.24,1513.84,1530.73,1522.41,1525.72,1641.37
2024-07-11,1544.73,1643,1551.47,1546.98,1551.4,1546.2,1540.59,1527.1,1543.32,1524.4,1525.46,1544.38,1565.3,1516.01,1532.69,1523.1,1527.12,1641.13
2024-07-12,1546.05,1643.68,1552.72,1550.99,1552.37,1546.96,1541.84,1527.85,1544.78,1525.84,1527.43,1545.97,1566.43,1517,1535.39,1524.18,1527.24,1640.79
2024-07-15,1548.59,1644.44,1555.31,1552.85,1556.87,1549.43,1545.43,1529.7,1546.97,1528.67,1530.5,1549.31,1567.38,1520.12,1537.06,1525.63,1528.58,1640.88
2024-07-16,1548.83,1645.09,1556.18,1552.6,1558.38,1550.16,1546.67,1530.17,1547.9,1529.34,1531.46,1550.23,1567.13,1520.44,1536.94,1526.4,1527.75,1614.1
2024-07-17,1549.23,1642.14,1556.52,1553.09,1559.54,1550.52,1547.7,1531.66,1548.72,1529.88,1531.52,1550.6,1566.96,1521.07,1537.23,1528.03,1527.88,1610.12
2024-07-18,1549.44,1642.2,1556.79,1553.3,1560.34,1550.96,1548.2,1531.44,1549.48,1530.42,1531.35,1551.25,1566.61,1521.18,1537.85,1528.2,1526.48,1607.55
2024-07-19,1550.02,1644.76,1557.33,1553.85,1560.78,1551.53,1548.72,1532.36,1550.13,1530.51,1532.54,1552.32,1565.98,1520.9,1538.76,1528.93,1525.67,1605.79
2024-07-22,1550.54,1644,1557.73,1558.82,1562.15,1551.61,1549.19,1532.82,1550.6,1530.79,1533.87,1550.94,1564.95,1520.61,1537.95,1530.98,1524.92,1604.53
2024-07-23,1550.59,1643.84,1557.58,1561.26,1562.96,1551.25,1549.48,1533.4,1550.93,1530.24,1533.72,1550.63,1563.87,1520.95,1537.97,1531.09,1524.23,1604.61
2024-07-24,1550.22,1643.15,1556.75,1560.85,1562.87,1550.95,1548.74,1533.32,1551.12,1530.12,1533.54,1552.15,1562.99,1521.01,1537.41,1531.24,1522.74,1604.64
2024-07-25,1549.97,1642.8,1556.22,1561.02,1563.29,1550.67,1549.03,1532.76,1551.18,1529.95,1533.25,1550.15,1561.15,1519.9,1536.54,1531.23,1522.24,1607.15
2024-07-26,1549.59,1642.57,1555.62,1560.74,1563.2,1550.48,1548.69,1532.11,1550.81,1529.54,1533.27,1548.83,1560.1,1519.46,1535.96,1531.42,1521.9,1607.7
2024-07-29,1549.11,1642.26,1554.73,1560.66,1563.52,1549.67,1548.53,1531.53,1550.57,1529.03,1532.88,1546.37,1558.37,1519.1,1535.96,1531.72,1520.9,1607.45
2024-07-30,1548.59,1641.65,1554.2,1559.87,1563.42,1549,1548.78,1530.97,1549.97,1528.43,1532.33,1546.34,1556.58,1518.81,1533.96,1531.5,1520.71,1606.84
2024-07-31,1547.85,1641.38,1553.51,1558.93,1563.42,1548.43,1547.77,1530.85,1549.27,1527.77,1531.7,1545.86,1552.34,1517.68,1532.93,1530.16,1520.12,1605.86
2024-08-01,1547.17,1639.28,1552.19,1558.64,1563.09,1548.63,1547.88,1530.51,1548.79,1527.41,1531.17,1545.28,1551.29,1516.92,1530.84,1528.66,1519.3,1604.93
2024-08-02,1547.85,1641.38,1553.51,1558.93,1563.42,1548.43,1547.77,1530.85,1549.27,1527.77,1531.7,1545.86,1552.34,1517.68,1532.93,1530.16,1520.12,1605.86
2024-08-05,1545.9,1637.32,1549.88,1558.44,1562.83,1547.72,1546.6,1528.96,1548.33,1526.87,1530.72,1544.89,1546.44,1514.81,1530.33,1528.42,1517.13,1603.69
2024-08-06,1544.79,1634.8,1548.13,1557.52,1562.01,1546.7,1546.13,1527.98,1547.59,1526.2,1530.26,1543.34,1544.77,1512.3,1528.76,1526.12,1516.82,1604.46
