날짜,철근 (천원/톤),철광석 (달러/톤),유연탄 (달러/톤),스크랩 (달러/톤)
2025-07-01,775,175,267,413
2025-08-01,803,179,252,412
2025-09-01,805,178,245,411
2025-10-01,824,151,226,399
2025-11-01,812,137,198,371
2025-12-01,779,138,199,392
2025-01-01,798,142,198,417
2025-02-01,802,142,193,397
2025-03-01,804,147,186,397
2025-04-01,787,150,190,389
2025-05-01,777,139,190,393
2025-06-01,798,136,180,351
2025-07-01,801,129,168,313
2025-08-01,776,108,146,355
2025-09-01,769,102,128,346
2025-10-01,739,116,129,309
2025-11-01,713,122,141,338
2025-12-01,701,131,145,384
2025-01-01,692,151,152,347
2025-02-01,706,155,155,338
2025-03-01,703,140,147,357
2025-04-01,688,137,134,347
2025-05-01,677,125,128,323
2025-06-01,665,115,120,330
2025-07-01,665,127,118,333
2025-08-01,664,137,130,335
2025-09-01,675,134,136,332
2025-10-01,673,132,131,330
2025-11-01,670,136,127,346
2025-12-01,676,136,121,368
2025-01-01,672,128,117,386
2025-02-01,666,121,111,374
2025-03-01,662,112,100,359
2025-04-01,654,114,101,366
2025-05-01,645,101,100,362
2025-06-01,635,93,97,353
2025-07-01,619,96,93,351
2025-08-01,616,93,93,351
2025-09-01,620,83,96,352
2025-10-01,612,80,98,342
2025-11-01,604,73,99,319
2025-12-01,582,70,102,304
2025-01-01,564,68,99,310
2025-02-01,543,63,95,271
2025-03-01,536,57,92,223
2025-04-01,531,52,110,224
2025-05-01,527,61,79,227
2025-06-01,560,63,83,237
2025-07-01,620,52,78,240
2025-08-01,609,56,75,219
2025-09-01,609,57,74,202
2025-10-01,577,53,75,191
2025-11-01,551,47,71,143
2025-12-01,509,41,72,139
2025-01-01,486,42,74,147
2025-02-01,498,47,72,155
2025-03-01,499,56,76,162
2025-04-01,546,60,82,189
2025-05-01,594,55,86,229
2025-06-01,569,52,85,231
2025-07-01,537,57,88,215
2025-08-01,528,61,106,205
2025-09-01,533,57,168,200
2025-10-01,508,59,202,181
2025-11-01,539,73,263,187
2025-12-01,578,80,234,223
2025-01-01,619,80,167,259
2025-02-01,593,87,150,263
2025-03-01,610,87,150,266
2025-04-01,632,70,232,268
2025-05-01,625,61,156,258
2025-06-01,635,58,136,260
2025-07-01,634,67,151,259
2025-08-01,639,75,171,269
2025-09-01,653,69,169,280
2025-10-01,675,61,152,262
2025-11-01,659,64,155,254
2025-12-01,670,72,179,274
2025-01-01,681,77,184,309
2025-02-01,631,78,196,314
2025-03-01,625,67,191,331
2025-04-01,619,65,175,344
2025-05-01,591,66,171,338
2025-06-01,639,65,184,329
2025-07-01,669,65,167,335
2025-08-01,683,67,159,321
2025-09-01,668,69,177,301
2025-10-01,699,73,185,305
2025-11-01,721,72,194,323
2025-12-01,711,71,185,325
2025-01-01,688,77,179,303
2025-02-01,694,89,180,294
2025-03-01,695,86,180,310
2025-04-01,696,93,178,296
2025-05-01,695,99,184,269
2025-06-01,696,111,179,238
2025-07-01,687,117,165,226
2025-08-01,666,90,140,242
2025-09-01,648,93,128,223
2025-10-01,610,89,125,189
2025-11-01,568,85,122,200
2025-12-01,539,91,121,222
2025-01-01,591,92,130,243
2025-02-01,590,87,142,236
2025-03-01,596,88,145,229
2025-04-01,645,84,111,202
2025-05-01,648,95,91,195
2025-06-01,638,103,91,205
2025-07-01,650,108,91,197
2025-08-01,643,123,86,204
2025-09-01,641,123,100,233
2025-10-01,665,120,107,241
2025-11-01,670,125,94,244
2025-12-01,678,156,94,298
2025-01-01,743,167,111,383
2025-02-01,750,168,135,367
2025-03-01,778,166,111,393
2025-04-01,853,178,105,393
2025-05-01,1073,203,118,402
2025-06-01,1255,216,154,443
2025-07-01,1098,208,181,454
2025-08-01,1203,163,202,437
2025-09-01,1103,121,299,417
2025-10-01,1060,119,334,409
2025-11-01,1045,93,311,438
2025-12-01,1036,113,293,458
2025-01-01,1043,135,417,429
2025-02-01,1078,141,446,401
2025-03-01,1106,152,609,448
2025-04-01,1147,152,471,517
2025-05-01,1180,134,506,469
2025-06-01,1159,131,372,418
2025-07-01,1106,108,243,373
2025-08-01,965,103,252,341
2025-09-01,972,99,263,319
2025-10-01,1001,92,294,307
2025-11-01,1043,95,282,297
2025-12-01,1020,112,267,298
2025-01-01,979,125,320,325
2025-02-01,954,127,365,352
2025-03-01,964,127,341,376
2025-04-01,999,115,261,377
2025-05-01,985,104,232,345
2025-06-01,954,112,231,313
2025-07-01,907,113,234,303
2025-08-01,869,109,254,308
2025-09-01,862,121,303,320
2025-10-01,855,119,354,320
2025-11-01,843,128,315,327
2025-12-01,821,135,324,350
2025-01-01,784,134,323,368
2025-02-01,776,123,311,368
2025-03-01,768,109,266,344
2025-04-01,742,111,247,327
2025-05-01,705,118,250,323
2025-06-01,679,106,250,315
2025-07-01,716,105,237,310
2025-08-01,774,99,206,310
2025-09-01,904,94,191,308
2025-10-01,754,104,212,316
2025-11-01,706,102,206,318
2025-12-01,673,103,205,309
2025-01-01,690,100,194,314
2025-02-01,674,106,191,340
